Mustang Weightlifting Meet,US,3015.csv
Indiana High School State Championship,US,3773.csv
Evo Open,US,5302.csv
Des Moines Open,US,1164.csv
April Last Chance For Youth Meet,US,1170.csv
2019 Iowa Weightlifting Open,US,4008.csv
Freedom Meet,US,3767.csv
Donny Shankle SBC Classic,US,2479.csv
Testify Barbell MAYhem,US,5316.csv
Hatch Annual Christmas Meet,US,3001.csv
North coast League Meet 1,US,382.csv
Pan-Am Masters Championships,US,1616.csv
2015 Russ Knipp,US,369.csv
2nd Annual Mile High Olympic Day Open,US,1825.csv
Bexar Barbell Spring Throwdown,US,4785.csv
5th Annual Cupid Classic,US,2492.csv
IOWA OPEN,US,3954.csv
National Deadline Open,US,2486.csv
2019 LBH Classic,US,3798.csv
Vaughn Weightlifting Developmental,US,4791.csv
DoD Midsummer Team Challenge,US,4949.csv
Rando Meet,US,1831.csv
Masters Qualifier,US,4961.csv
Capitol City Weightlifting Championship,US,355.csv
Battle of Fallujah,US,1819.csv
College Station  Weightlifting Classic,US,433.csv
5th Annual Athleo Open,US,3968.csv
Lift outside the box Invitational,US,427.csv
Hoisting With Heart,US,341.csv
Team Florida N.E.  904 Summer Challenge,US,4975.csv
4th Annual Mississippi State Weightlifting Championship,US,2653.csv
Alpha Oktoberfest,US,4222.csv
Orlando Open,US,816.csv
Moorestown Fall Open,US,56.csv
Allsouth June Jump Off,US,4544.csv
Poliquin Group Winter Open,US,4.csv
Green Bay Barbell Open,US,2135.csv
Summer Singlets,US,4550.csv
2016 Elmira Fall Open,US,2121.csv
CrossFit Savannah Competition Team Meet,US,1428.csv
Triad Barbell Invitational,US,802.csv
Metropolitan Championship,US,42.csv
Bexar Barbell Winter Throwdown,US,5128.csv
3rd Annual Olympic Day Strength Fest,US,2647.csv
Kilos & Giving a Seasonal Open by Brooklyn Barbell,US,3559.csv
Occapendence Day,US,4236.csv
2014 Saint Patricks Day Weightlifting Championship,US,1366.csv
Iowa State Championship and Open (NUQ),US,5100.csv
Shamrocks and Snatches Open,US,3571.csv
2020 Ohio State Championship,US,4578.csv
Last Chance for American Open,US,3217.csv
September Showdown 2016,US,2109.csv
2015 IL State WL Championship & Strength Clinic,US,194.csv
Arkansas Open,US,1400.csv
Vero Beach Classic,US,1414.csv
34th Spartan Open,US,180.csv
April 2018 Weightlifting League,US,3203.csv
KIM BARBELL Development Meet 10/31,US,5114.csv
Frosty Classic,US,3565.csv
Raider High School Open,US,1372.csv
Houses' Gym Winter Classic,US,1399.csv
Allegheny Mountain LWC Championships,US,95.csv
2017 Hawaii State Weightlifting Championships,US,2848.csv
Collier Lift-Off: Presented by Golden Gate High School,US,2690.csv
PL in house August Comp,US,4587.csv
Kilo Classic,US,4593.csv
Indiana Open,US,2684.csv
2012 Ironmind Weightlifting Championships,US,619.csv
2015 Capital City Open,US,81.csv
HD Fall Classic: Harvest of Gains!,US,2874.csv
Sundial Open,US,631.csv
Middle Tennessee Barbell Summer Open,US,157.csv
Jacked Classic,US,143.csv
Central Texas Oly Open,US,625.csv
3rd Annual Turkey Classic,US,2860.csv
Wheelhouse Elite Open 2019,US,4356.csv
Donny Shankle Weightlifting Invitational,US,3439.csv
2017 HWC Fall Open,US,2727.csv
Rodger DeGarmo Memorial,US,5048.csv
Haman Kids Last Chance,US,962.csv
North Coast League Championships,US,1548.csv
Weightliftingpls fall open and last chance AO qualifier,US,2041.csv
2020 Composure Open,US,4430.csv
Xcel Barbell Club Last Chance Qualifier,US,2055.csv
2020 Roma World Cup,US,4424.csv
Team  Chikara Developmental Meet #27,US,976.csv
Palmetto Fall Invitational,US,4342.csv
RWL SAINT PATTY'S DAY OPEN,US,2733.csv
Dumbarton Invitational #2,US,786.csv
General Meng Yi Spring Qualifier,US,1212.csv
Houston Weightlifting Development Meet (Summer),US,3405.csv
Bar Wars Episode 1,US,5074.csv
2018 Sunflower State Games,US,3363.csv
Team Chikara Developmental Meet #40,US,1574.csv
210 Last Chance Qualifier,US,1560.csv
"Nutmeg State Open, Junior, and Masters",US,2069.csv
2018 Vivian Dawson Memorial,US,3377.csv
2020 Wilmington Open,US,4418.csv
Georgia Games Olympic Weightlifting Championship,US,3411.csv
2021 Collegiate Southeast Invitational (NUQ),US,5060.csv
Oklahoma State Championships of Weightlifting,US,1206.csv
PGH BBC Summer Club Meet,US,792.csv
First Timers Meet,US,779.csv
Northfield Mini Meet,US,4395.csv
212 OPEN,US,2082.csv
August 2018 Weightlifting League,US,3388.csv
Fall Classic/AO last chance Qualifier,US,2096.csv
2017 RUFIT Weightlifting Championships,US,2928.csv
Torque Barbell Open,US,4381.csv
Washington Weightlifting Championship,US,2900.csv
New York State Championships,US,745.csv
Team Chikara Developmental Meet #35,US,989.csv
4th Annual Jerry Dunne RedLIghtOpen,US,751.csv
Kentucky Muscle Weightlifting Championships,US,2914.csv
Eastside New Year Liftoff,US,4632.csv
The Gainesville Open,US,2243.csv
Rumbler's Inaugural First Timer's Meet,US,1992.csv
May Weightlifting League,US,2525.csv
2019 West Chester Winter Classic,US,4154.csv
4th Annual Northshore Summer Meet,US,2531.csv
August 10th Weightlifting Competition,US,4140.csv
